stnId,stnNm,yyyymm,days_in_month,yn_month,avg_yn_month
146,전주,2024-11,30,19,0.6333333333333333
146,전주,2024-12,31,16,0.5161290322580645
152,울산,2024-01,31,17,0.5483870967741935
152,울산,2024-02,29,16,0.5517241379310345
152,울산,2024-03,31,18,0.5806451612903226
152,울산,2024-04,30,21,0.7
152,울산,2024-05,31,22,0.7096774193548387
152,울산,2024-06,30,23,0.7666666666666667
152,울산,2024-07,31,22,0.7096774193548387
152,울산,2024-08,31,22,0.7096774193548387
152,울산,2024-09,30,19,0.6333333333333333
152,울산,2024-10,31,17,0.5483870967741935
152,울산,2024-11,30,25,0.8333333333333334
152,울산,2024-12,31,30,0.967741935483871
155,창원,2024-01,31,20,0.6451612903225806
155,창원,2024-02,29,16,0.5517241379310345
155,창원,2024-03,31,21,0.6774193548387096
155,창원,2024-04,30,22,0.7333333333333333
155,창원,2024-05,31,21,0.6774193548387096
155,창원,2024-06,30,23,0.7666666666666667
155,창원,2024-07,31,15,0.4838709677419355
155,창원,2024-08,31,24,0.7741935483870968
155,창원,2024-09,30,24,0.8
155,창원,2024-10,31,18,0.5806451612903226
155,창원,2024-11,30,25,0.8333333333333334
155,창원,2024-12,31,31,1.0
156,광주,2024-01,31,16,0.5161290322580645
156,광주,2024-02,29,15,0.5172413793103449
156,광주,2024-03,31,22,0.7096774193548387
156,광주,2024-04,30,20,0.6666666666666666
156,광주,2024-05,31,21,0.6774193548387096
156,광주,2024-06,30,25,0.8333333333333334
156,광주,2024-07,31,12,0.3870967741935484
156,광주,2024-08,31,19,0.6129032258064516
156,광주,2024-09,30,21,0.7
156,광주,2024-10,31,18,0.5806451612903226
156,광주,2024-11,30,20,0.6666666666666666
156,광주,2024-12,31,21,0.6774193548387096
159,부산,2024-01,31,21,0.6774193548387096
159,부산,2024-02,29,15,0.5172413793103449
159,부산,2024-03,31,22,0.7096774193548387
159,부산,2024-04,30,23,0.7666666666666667
159,부산,2024-05,31,21,0.6774193548387096
159,부산,2024-06,30,20,0.6666666666666666
159,부산,2024-07,31,15,0.4838709677419355
159,부산,2024-08,31,22,0.7096774193548387
159,부산,2024-09,30,23,0.7666666666666667
159,부산,2024-10,31,18,0.5806451612903226
159,부산,2024-11,30,25,0.8333333333333334
159,부산,2024-12,31,31,1.0
162,통영,2024-01,31,20,0.6451612903225806
162,통영,2024-02,29,15,0.5172413793103449
162,통영,2024-03,31,22,0.7096774193548387
162,통영,2024-04,30,23,0.7666666666666667
162,통영,2024-05,31,21,0.6774193548387096
162,통영,2024-06,30,21,0.7
162,통영,2024-07,31,12,0.3870967741935484
162,통영,2024-08,31,27,0.8709677419354839
162,통영,2024-09,30,26,0.8666666666666667
162,통영,2024-10,31,21,0.6774193548387096
162,통영,2024-11,30,25,0.8333333333333334
162,통영,2024-12,31,31,1.0
165,목포,2024-01,31,18,0.5806451612903226
165,목포,2024-02,29,13,0.4482758620689655
165,목포,2024-03,31,20,0.6451612903225806
165,목포,2024-04,30,19,0.6333333333333333
165,목포,2024-05,31,21,0.6774193548387096
165,목포,2024-06,30,21,0.7
165,목포,2024-07,31,13,0.41935483870967744
165,목포,2024-08,31,21,0.6774193548387096
165,목포,2024-09,30,22,0.7333333333333333
165,목포,2024-10,31,18,0.5806451612903226
165,목포,2024-11,30,20,0.6666666666666666
165,목포,2024-12,31,23,0.7419354838709677
168,여수,2024-01,31,18,0.5806451612903226
168,여수,2024-02,29,14,0.4827586206896552
168,여수,2024-03,31,21,0.6774193548387096
168,여수,2024-04,30,20,0.6666666666666666
168,여수,2024-05,31,20,0.6451612903225806
168,여수,2024-06,30,21,0.7
168,여수,2024-07,31,13,0.41935483870967744
168,여수,2024-08,31,28,0.9032258064516129
168,여수,2024-09,30,26,0.8666666666666667
168,여수,2024-10,31,21,0.6774193548387096
168,여수,2024-11,30,24,0.8
168,여수,2024-12,31,30,0.967741935483871
169,흑산도,2024-01,31,16,0.5161290322580645
169,흑산도,2024-02,29,13,0.4482758620689655
169,흑산도,2024-03,31,20,0.6451612903225806
169,흑산도,2024-04,30,22,0.7333333333333333
169,흑산도,2024-05,31,25,0.8064516129032258
169,흑산도,2024-06,30,24,0.8
169,흑산도,2024-07,31,12,0.3870967741935484
169,흑산도,2024-08,31,26,0.8387096774193549
169,흑산도,2024-09,30,22,0.7333333333333333
169,흑산도,2024-10,31,16,0.5161290322580645
169,흑산도,2024-11,30,14,0.4666666666666667
169,흑산도,2024-12,31,20,0.6451612903225806
170,완도,2024-01,31,17,0.5483870967741935
170,완도,2024-02,29,14,0.4827586206896552
170,완도,2024-03,31,18,0.5806451612903226
170,완도,2024-04,30,19,0.6333333333333333
170,완도,2024-05,31,21,0.6774193548387096
170,완도,2024-06,30,21,0.7
170,완도,2024-07,31,17,0.5483870967741935
170,완도,2024-08,31,27,0.8709677419354839
170,완도,2024-09,30,23,0.7666666666666667
170,완도,2024-10,31,17,0.5483870967741935
170,완도,2024-11,30,19,0.6333333333333333
170,완도,2024-12,31,27,0.8709677419354839
172,고창,2024-01,31,11,0.3548387096774194
172,고창,2024-02,29,12,0.41379310344827586
172,고창,2024-03,31,23,0.7419354838709677
172,고창,2024-04,30,20,0.6666666666666666
172,고창,2024-05,31,23,0.7419354838709677
172,고창,2024-06,30,23,0.7666666666666667
172,고창,2024-07,31,13,0.41935483870967744
172,고창,2024-08,31,24,0.7741935483870968
172,고창,2024-09,30,24,0.8
172,고창,2024-10,31,19,0.6129032258064516
172,고창,2024-11,30,20,0.6666666666666666
172,고창,2024-12,31,14,0.45161290322580644
174,순천,2024-01,31,14,0.45161290322580644
174,순천,2024-02,29,13,0.4482758620689655
174,순천,2024-03,31,20,0.6451612903225806
174,순천,2024-04,30,21,0.7
174,순천,2024-05,31,18,0.5806451612903226
174,순천,2024-06,30,23,0.7666666666666667
174,순천,2024-07,31,13,0.41935483870967744
174,순천,2024-08,31,21,0.6774193548387096
174,순천,2024-09,30,19,0.6333333333333333
174,순천,2024-10,31,20,0.6451612903225806
174,순천,2024-11,30,22,0.7333333333333333
174,순천,2024-12,31,21,0.6774193548387096
177,홍성,2024-01,31,9,0.2903225806451613
177,홍성,2024-02,29,16,0.5517241379310345
177,홍성,2024-03,31,20,0.6451612903225806
177,홍성,2024-04,30,22,0.7333333333333333
177,홍성,2024-05,31,23,0.7419354838709677
177,홍성,2024-06,30,25,0.8333333333333334
177,홍성,2024-07,31,12,0.3870967741935484
177,홍성,2024-08,31,21,0.6774193548387096
177,홍성,2024-09,30,23,0.7666666666666667
177,홍성,2024-10,31,21,0.6774193548387096
177,홍성,2024-11,30,20,0.6666666666666666
177,홍성,2024-12,31,15,0.4838709677419355
181,서청주,2024-01,31,8,0.25806451612903225
181,서청주,2024-02,29,13,0.4482758620689655
181,서청주,2024-03,31,22,0.7096774193548387
181,서청주,2024-04,30,23,0.7666666666666667
181,서청주,2024-05,31,22,0.7096774193548387
181,서청주,2024-06,30,24,0.8
181,서청주,2024-07,31,12,0.3870967741935484
181,서청주,2024-08,31,21,0.6774193548387096
181,서청주,2024-09,30,21,0.7
181,서청주,2024-10,31,19,0.6129032258064516
181,서청주,2024-11,30,22,0.7333333333333333
181,서청주,2024-12,31,15,0.4838709677419355
184,제주,2024-01,31,17,0.5483870967741935
184,제주,2024-02,29,12,0.41379310344827586
184,제주,2024-03,31,21,0.6774193548387096
184,제주,2024-04,30,16,0.5333333333333333
184,제주,2024-05,31,23,0.7419354838709677
184,제주,2024-06,30,19,0.6333333333333333
184,제주,2024-07,31,21,0.6774193548387096
184,제주,2024-08,31,25,0.8064516129032258
184,제주,2024-09,30,16,0.5333333333333333
184,제주,2024-10,31,15,0.4838709677419355
184,제주,2024-11,30,18,0.6
184,제주,2024-12,31,22,0.7096774193548387
185,고산,2024-01,31,15,0.4838709677419355
185,고산,2024-02,29,13,0.4482758620689655
185,고산,2024-03,31,16,0.5161290322580645
185,고산,2024-04,30,15,0.5
185,고산,2024-05,31,21,0.6774193548387096
185,고산,2024-06,30,17,0.5666666666666667
185,고산,2024-07,31,18,0.5806451612903226
185,고산,2024-08,31,20,0.6451612903225806
185,고산,2024-09,30,20,0.6666666666666666
185,고산,2024-10,31,16,0.5161290322580645
185,고산,2024-11,30,13,0.43333333333333335
185,고산,2024-12,31,15,0.4838709677419355
188,성산,2024-01,31,18,0.5806451612903226
188,성산,2024-02,29,13,0.4482758620689655
188,성산,2024-03,31,21,0.6774193548387096
188,성산,2024-04,30,16,0.5333333333333333
188,성산,2024-05,31,21,0.6774193548387096
188,성산,2024-06,30,19,0.6333333333333333
188,성산,2024-07,31,15,0.4838709677419355
188,성산,2024-08,31,18,0.5806451612903226
188,성산,2024-09,30,19,0.6333333333333333
188,성산,2024-10,31,16,0.5161290322580645
188,성산,2024-11,30,17,0.5666666666666667
188,성산,2024-12,31,22,0.7096774193548387
189,서귀포,2024-01,31,21,0.6774193548387096
189,서귀포,2024-02,29,13,0.4482758620689655
189,서귀포,2024-03,31,19,0.6129032258064516
189,서귀포,2024-04,30,16,0.5333333333333333
189,서귀포,2024-05,31,21,0.6774193548387096
189,서귀포,2024-06,30,16,0.5333333333333333
189,서귀포,2024-07,31,16,0.5161290322580645
189,서귀포,2024-08,31,19,0.6129032258064516
189,서귀포,2024-09,30,19,0.6333333333333333
189,서귀포,2024-10,31,13,0.41935483870967744
189,서귀포,2024-11,30,19,0.6333333333333333
189,서귀포,2024-12,31,26,0.8387096774193549
192,진주,2024-01,31,14,0.45161290322580644
192,진주,2024-02,29,15,0.5172413793103449
192,진주,2024-03,31,23,0.7419354838709677
192,진주,2024-04,30,21,0.7
192,진주,2024-05,31,21,0.6774193548387096
192,진주,2024-06,30,23,0.7666666666666667
192,진주,2024-07,31,12,0.3870967741935484
192,진주,2024-08,31,25,0.8064516129032258
192,진주,2024-09,30,23,0.7666666666666667
192,진주,2024-10,31,21,0.6774193548387096
192,진주,2024-11,30,24,0.8
192,진주,2024-12,31,27,0.8709677419354839
201,강화,2024-01,31,10,0.3225806451612903
201,강화,2024-02,29,12,0.41379310344827586
201,강화,2024-03,31,24,0.7741935483870968
201,강화,2024-04,30,24,0.8
201,강화,2024-05,31,24,0.7741935483870968
201,강화,2024-06,30,23,0.7666666666666667
201,강화,2024-07,31,11,0.3548387096774194
201,강화,2024-08,31,19,0.6129032258064516
201,강화,2024-09,30,20,0.6666666666666666
201,강화,2024-10,31,21,0.6774193548387096
201,강화,2024-11,30,20,0.6666666666666666
201,강화,2024-12,31,8,0.25806451612903225
202,양평,2024-01,31,7,0.22580645161290322
202,양평,2024-02,29,16,0.5517241379310345
202,양평,2024-03,31,19,0.6129032258064516
202,양평,2024-04,30,24,0.8
202,양평,2024-05,31,24,0.7741935483870968
202,양평,2024-06,30,21,0.7
202,양평,2024-07,31,10,0.3225806451612903
202,양평,2024-08,31,21,0.6774193548387096
202,양평,2024-09,30,20,0.6666666666666666
202,양평,2024-10,31,23,0.7419354838709677
202,양평,2024-11,30,23,0.7666666666666667
202,양평,2024-12,31,10,0.3225806451612903
203,이천,2024-01,31,6,0.1935483870967742
203,이천,2024-02,29,17,0.5862068965517241
203,이천,2024-03,31,19,0.6129032258064516
203,이천,2024-04,30,25,0.8333333333333334
203,이천,2024-05,31,24,0.7741935483870968
203,이천,2024-06,30,23,0.7666666666666667
203,이천,2024-07,31,10,0.3225806451612903
203,이천,2024-08,31,21,0.6774193548387096
203,이천,2024-09,30,19,0.6333333333333333
203,이천,2024-10,31,20,0.6451612903225806
203,이천,2024-11,30,20,0.6666666666666666
203,이천,2024-12,31,13,0.41935483870967744
211,인제,2024-01,31,9,0.2903225806451613
211,인제,2024-02,29,11,0.3793103448275862
211,인제,2024-03,31,18,0.5806451612903226
211,인제,2024-04,30,25,0.8333333333333334
211,인제,2024-05,31,22,0.7096774193548387
211,인제,2024-06,30,22,0.7333333333333333
211,인제,2024-07,31,9,0.2903225806451613
